Membership No  Date Joined  Active  
    69532      2018-1-5     yes   
    99380      2016-12-6    yes   
    90550      2015-12-17   yes   
    74851      2019-5-23    no    
    44239      2015-2-10    no    
    81500      2016-1-19    no    
    47767      2020-12-12   yes   
    42080      2016-12-24   no    
    52382      2015-11-24   yes   
    38851      2016-2-2     yes   
    22354      2019-9-9     yes   
    34491      2015-12-16   yes   
    98297      2019-8-24    yes   
    41238      2020-3-16    yes   
    29900      2017-4-16    no    
    94998      2015-7-1     no    
    52112      2016-9-11    yes   
    39730      2016-2-15    no    
    39735      2015-10-7    no    
    49518      2018-9-6     no    
