Membership No  Date Joined  Active  
    69865      2019-6-2     yes   
    45683      2015-1-19    yes   
    73557      2016-8-4     yes   
    77930      2020-1-12    yes   
    76733      2015-4-4     no    
    25834      2017-3-9     no    
    97988      2019-10-8    no    
    74690      2020-8-25    no    
    27936      2017-1-4     no    
    76762      2020-8-20    no    
    60885      2020-2-20    yes   
    84953      2015-4-25    yes   
    18542      2016-10-22   yes   
    98635      2018-9-18    yes   
    34066      2016-1-24    no    
    11864      2018-3-25    yes   
    17223      2020-4-22    no    
    83151      2020-1-24    yes   
    91066      2017-2-24    yes   
    87810      2019-3-13    no    
